"Haier White-Air fryer 4 ltr-HAF40W","Rs. 14,499","-9%","468 Ratings","Haier","115 Answered Questions","Product details of Haier White-Air fryer 4 ltr-HAF40W","https://static-01.daraz.pk/p/5e1a9f290ff4fb86d3122b96e35e13b7.jpg_720x720q80.jpg_.webp",
"Haier 1.5 Ton DC Inverter-Triple Inverter Series-HSU-18HRW-Heat & Cool-AC/Air Conditioner","Rs. 84,499","-3%","569 Ratings","Haier","586 Answered Questions","Product details of Haier 1.5 Ton DC Inverter-Triple Inverter Series-HSU-18HRW-Heat & Cool-AC/Air Conditioner","https://static-01.daraz.pk/p/d91ac9fcf9b1230cc747265fc072258f.jpg_720x720q80.jpg_.webp",
"Haier White-Air fryer 4 ltr-HAF40W","Rs. 14,499","-9%","468 Ratings","Haier","115 Answered Questions","Product details of Haier White-Air fryer 4 ltr-HAF40W","https://static-01.daraz.pk/p/5e1a9f290ff4fb86d3122b96e35e13b7.jpg_720x720q80.jpg_.webp",
"Haier White-Air fryer 4 ltr-HAF40W","Rs. 14,499","-9%","468 Ratings","Haier","115 Answered Questions","Product details of Haier White-Air fryer 4 ltr-HAF40W","https://static-01.daraz.pk/p/5e1a9f290ff4fb86d3122b96e35e13b7.jpg_720x720q80.jpg_.webp",
"Haier 1.5 Ton DC Inverter-Triple Inverter Series-HSU-18HRW-Heat & Cool-AC/Air Conditioner","Rs. 84,499","-3%","569 Ratings","Haier","586 Answered Questions","Product details of Haier 1.5 Ton DC Inverter-Triple Inverter Series-HSU-18HRW-Heat & Cool-AC/Air Conditioner","https://static-01.daraz.pk/p/d91ac9fcf9b1230cc747265fc072258f.jpg_720x720q80.jpg_.webp",
"Haier 1 Ton DC Inverter-Triple Inverter Series-Self Cleaning-UPS Enabled-HSU-12HRW-Heat & Cool-AC/Air Conditioner-Haier Free Installation","Rs. 67,999","-6%","582 Ratings","Haier","523 Answered Questions","Product details of Haier 1 Ton DC Inverter-Triple Inverter Series-Self Cleaning-UPS Enabled-HSU-12HRW-Heat & Cool-AC/Air Conditioner-Haier Free Installation","https://static-01.daraz.pk/p/5a097af2ccd6d31e00a36c4137c4ff51.jpg_720x720q80.jpg_.webp",
"Haier -8.5kg/ Fully Automatic/ Top Loading Washing Machine/ HWM 85-826 Fuzzy Quick- Grey 10 Years Warranty","Rs. 38,999","-9%","1320 Ratings","Haier","647 Answered Questions","Product details of Haier -8.5kg/ Fully Automatic/ Top Loading Washing Machine/ HWM 85-826 Fuzzy Quick- Grey 10 Years Warranty","https://static-01.daraz.pk/p/4b326efa26ddb3b6009b161b7b65e086.jpg_720x720q80.jpg_.webp",
"Haier -9kg/ Fully Automatic/ Top Loading Washing Machine/ HWM 90-826Y One Touch Cleaning- White","Rs. 39,399","-12%","162 Ratings","Haier","100 Answered Questions","Product details of Haier -9kg/ Fully Automatic/ Top Loading Washing Machine/ HWM 90-826Y One Touch Cleaning- White","https://static-01.daraz.pk/p/9286cac4fc04f6a0f82468c1c54344bb.jpg_720x720q80.jpg_.webp",
[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object][object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
